,activator1,affinity1,activator2,affinity2,PCR tube,#1,#2,#3,#4,#5,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,backgroundGFP,GFPfa1,GFPfa2,GFPfa3,geometricmeanIRFP1,geometricmeanIRFP2,geometricmeanIRFP3,avg1,avg2,avg3,ratio (GFP/IRFP)1,ratio (GFP/IRFP)2,ratio (GFP/IRFP)3,0.005249778,nFC1,nFC2,nFC3
32,SP1,ZF(WT),VP16,ZF(WT),,pKC-14,pKC-16,SS,,206,1028,1003,1047,,4.307262569,4.202513966,4.386871508,53045,53499,54440,53661.33333,53661.33333,53661.33333,0.019157183,0.018691299,0.019511256,,3.649141587,3.560397871,3.716586811
33,SP1,ZF(WT),empty,ZF(WT),0-5,pKC-14,pKC-300,SS,,206,496,459,459,,2.07821229,1.923184357,1.923184357,51872,53952,52099,52641,52641,52641,0.009422313,0.008719439,0.008719439,,1.794802248,1.66091579,1.66091579
34,SP1,ZF(WT),-,-,,pKC-14,SS,SS,,206,616,577,564,,2.581005586,2.417597765,2.363128491,47812,48930,48980,48574,48574,48574,0.012681682,0.011878783,0.01161115,,2.415660527,2.262720981,2.211741132
35,HSF1m1,ZF(WT),HSF1m1,ZF(WT),,pKC-12,pKC-12,SS,,206,706,645,642,,2.958100558,2.702513966,2.689944134,50481,49301,51459,50413.66667,50413.66667,50413.66667,0.014004139,0.01279415,0.012734642,,2.667567851,2.437083943,2.425748669
36,HSF1m1,ZF(WT),VP16m,ZF(WT),,pKC-12,pKC-17,SS,,206,1427,1414,1443,,5.979050278,5.924581005,6.046089385,47470,46938,46117,46841.66667,46841.66667,46841.66667,0.03046433,0.0301868,0.030805906,,5.802974913,5.750109689,5.868039803
37,HSF1m1,ZF(WT),HSF1,ZF(WT),,pKC-12,pKC-11,SS,,206,824,821,825,,3.452513966,3.439944134,3.45670391,50575,48341,49171,49362.33333,49362.33333,49362.33333,0.01669289,0.016632115,0.016713148,,3.179732534,3.168155838,3.183591433
38,HSF1m1,ZF(WT),VP16,ZF(WT),,pKC-12,pKC-16,SS,,206,1452,1441,1435,,6.083798882,6.037709496,6.012569832,48855,48309,50032,49065.33333,49065.33333,49065.33333,0.029593195,0.029369005,0.029246719,,5.637037473,5.594332644,5.571039101
39,HSF1m1,ZF(WT),empty,ZF(WT),,pKC-12,pKC-300,SS,,206,521,506,495,,2.182960894,2.120111732,2.074022346,50408,51036,49799,50414.33333,50414.33333,50414.33333,0.010334363,0.010036828,0.009818636,,1.968533246,1.911857625,1.870295503
40,HSF1m1,ZF(WT),-,-,,pKC-12,SS,SS,,206,721,701,692,,3.02094972,2.937150838,2.89944134,49416,48595,49389,49133.33333,49133.33333,49133.33333,0.014674355,0.0142673,0.014084125,,2.795233516,2.717695832,2.682803874
41,VP16m,ZF(WT),VP16m,ZF(WT),0-6,pKC-17,pKC-17,SS,,206,2469,2406,2417,,10.34497207,10.08100559,10.12709497,45086,47293,49731,47370,47370,47370,0.052121596,0.05079164,0.051023855,,9.928342813,9.675007213,9.719240413
42,VP16m,ZF(WT),HSF1,ZF(WT),,pKC-17,pKC-11,SS,,206,1597,1544,1540,,6.691340781,6.469273742,6.452513966,46956,48780,50863,48866.33333,48866.33333,48866.33333,0.032680987,0.031596396,0.03151454,,6.225213093,6.018615539,6.00302327
43,VP16m,ZF(WT),VP16,ZF(WT),,pKC-17,pKC-16,SS,,206,2481,2386,2359,,10.3952514,9.997206703,9.884078211,44753,46127,47800,46226.66667,46226.66667,46226.66667,0.05367032,0.051615229,0.051031151,,10.22335037,9.831887946,9.720630203
44,VP16m,ZF(WT),empty,ZF(WT),,pKC-17,pKC-300,SS,,206,1009,980,983,,4.227653631,4.106145251,4.118715083,46387,47777,49105,47756.33333,47756.33333,47756.33333,0.021128088,0.020520838,0.020583657,,4.024567822,3.908896398,3.920862408
45,VP16m,ZF(WT),-,-,,pKC-17,SS,SS,,206,2107,2038,2053,,8.828212289,8.539106144,8.601955306,43050,44048,45850,44316,44316,44316,0.047544905,0.045987905,0.046326383,,9.056555254,8.759971337,8.824446102
46,HSF1,ZF(WT),HSF1,ZF(WT),,pKC-11,pKC-11,SS,,206,914,924,950,,3.829608938,3.871508379,3.980446927,49436,48992,50179,49535.66667,49535.66667,49535.66667,0.018451352,0.018653226,0.019178101,,3.514691756,3.553145714,3.653126004
47,HSF1,ZF(WT),VP16,ZF(WT),,pKC-11,pKC-16,SS,,206,1778,1713,1694,,7.449720669,7.177374301,7.097765362,47453,49086,51667,49402,49402,49402,0.035990446,0.03467471,0.03429011,,6.855612855,6.604985839,6.531725634
48,HSF1,ZF(WT),empty,ZF(WT),,pKC-11,pKC-300,SS,,206,527,516,505,,2.208100558,2.162011173,2.115921787,52674,52196,55154,53341.33333,53341.33333,53341.33333,0.009879768,0.009673549,0.00946733,,1.881940147,1.842658664,1.803377181
